"order_channel","order_number","order_date","order_time_local","day_of_week","hour_of_day","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","store_type","order_type","scheduled_or_asap_order","fulfillment_type","cash_order","customer_type","gh_plus_customer","order_subtotal_before_adjustments","order_subtotal_adjustments","order_subtotal","order_self_delivery_charge","order_merchant_fees","order_sales_tax","order_tip","order_total","order_commission","order_delivery_commission","order_gh_plus_commission","order_processing_fee","order_withheld_sales_tax","order_merchant_funded_promotion_and_loyalty","order_merchant_total","order_time_to_expected_ready_time_minutes","order_time_to_actually_ready_time_minutes","order_time_to_driver_arrived_time_minutes","order_time_to_driver_departed_time_minutes","order_time_to_dropoff_start_time_minutes","ghd_driver_wait_time","order_on_time","overall_rating_value","review_text"
"Marketplace","824021617084995","2023-02-12","06:01:18 PM","Sunday","6 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","37.90","0.00","37.90","0.00","0.00","3.79","0.00","41.69","-4.74","-3.79","0.00","-1.57","-3.79","0.00","27.80","15",,"39","39","42","0","On-time",,
"Marketplace","127323085173169","2023-07-09","08:22:16 PM","Sunday","8 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","New","GH+","20.95","0.00","20.95","0.00","0.00","2.10","0.00","23.05","-2.62","-2.10","0.00","-1.00","-2.10","0.00","15.23","15",,"10","10","26","0","On-time",,
"Marketplace","673523063884905","2023-07-08","11:06:24 AM","Saturday","11 AM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","New","GH+","20.96","0.00","20.96","0.00","0.00","2.10","0.00","23.06","-2.62","-2.10","0.00","-1.00","-2.10","0.00","15.24","15","3","1","9","50","0","Early",,
"Marketplace","088223112496218","2023-07-12","07:32:10 PM","Wednesday","7 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","26.48","0.00","26.48","0.00","0.00","2.65","0.00","29.13","-3.31","-2.65","0.00","-1.19","-2.65","0.00","19.33","15","12","15","16","25","1","On-time",,
"Marketplace","640023075644725","2023-07-08","07:04:39 PM","Saturday","7 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","New","GH+","28.47","0.00","28.47","0.00","0.00","2.85","0.00","31.32","-3.56","-2.85","0.00","-1.26","-2.85","0.00","20.80","15",,"13","14","34","0","On-time",,
"Marketplace","106723070098205","2023-07-08","07:14:05 PM","Saturday","7 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","New","non GH+","12.98","0.00","12.98","0.00","0.00","1.30","0.00","14.28","-1.62","-1.30","0.00","-0.74","-1.30","0.00","9.32","15",,"6","8","15","0","On-time",,
"Marketplace","588723292302601","2023-07-30","08:28:29 PM","Sunday","8 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","17.23","0.00","17.23","0.00","0.00","1.72","0.00","18.95","-2.15","-1.72","0.00","-0.88","-1.72","0.00","12.48","15","14","25","26","37","1","On-time",,
"Marketplace","844224793007171","2023-12-28","05:16:33 PM","Thursday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","30.47","0.00","30.47","0.00","0.00","3.05","0.00","33.52","-3.81","-3.05","0.00","-1.32","-3.05","0.00","22.29","11","11","11","12","28","1","On-time",,
"Marketplace","849822330668810","2023-04-26","04:27:55 PM","Wednesday","4 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","22.48","0.00","22.48","0.00","0.00","2.25","0.00","24.73","-2.81","-2.25","0.00","-1.05","-2.25","0.00","16.37","15","0","14","14","31","0","Early",,
"Marketplace","021822354572637","2023-04-28","06:05:36 PM","Friday","6 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","14.41","0.00","14.41","0.00","0.00","1.44","0.00","15.85","-1.80","-1.44","0.00","-0.78","-1.44","0.00","10.39","15",,"18","19","25","1","On-time",,
"Marketplace","305722094472966","2023-04-02","11:13:39 AM","Sunday","11 AM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","21.48","0.00","21.48","0.00","0.00","2.15","0.00","23.63","-2.69","-2.15","0.00","-1.02","-2.15","0.00","15.62","15",,"31","34","55","3","On-time",,
"Marketplace","463322193319286","2023-04-12","02:45:41 PM","Wednesday","2 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","23.96","0.00","23.96","0.00","0.00","2.40","0.00","26.36","-3.00","-2.40","0.00","-1.10","-2.40","0.00","17.46","15",,"14","15","21","0","On-time",,
"Marketplace","729522154841185","2023-04-07","07:09:38 PM","Friday","7 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","17.74","0.00","17.74","0.00","0.00","1.77","0.00","19.51","-2.22","-1.77","0.00","-0.90","-1.77","0.00","12.85","15",,"15","17","24","2","On-time",,
"Marketplace","849822330669541","2023-04-26","04:02:52 PM","Wednesday","4 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","20.68","0.00","20.68","0.00","0.00","2.07","0.00","22.75","-2.59","-2.07","0.00","-0.99","-2.07","0.00","15.03","15",,"9","13","24","0","On-time",,
"Marketplace","280122303254196","2023-04-23","06:30:49 PM","Sunday","6 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","59.27","0.00","59.27","0.00","0.00","5.93","0.00","65.20","-7.41","-5.93","0.00","-2.29","-5.93","0.00","43.64","15",,"9","12","31","0","On-time",,
"Marketplace","328221231887353","2023-01-06","05:29:07 PM","Friday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Pick-Up","No","Returning","non GH+","43.47","0.00","43.47","0.00","0.00","4.35","0.00","47.82","-5.43","0.00","0.00","-1.76","-4.35","0.00","36.28","25","18",,,,,"Early",,
"Marketplace","324822466243666","2023-05-09","03:14:11 PM","Tuesday","3 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","106.20","0.00","106.20","0.00","0.00","10.62","0.00","116.82","-13.28","-10.62","0.00","-3.86","-10.62","0.00","78.44","15","16","36","39","54","3","On-time","5","Absolutely love the El Faro Brand. #2 is fantastic every time and will order for my staff of 40 at least once a month. Everything is delicious and in my opinion, some of the best horchata in the suburbs of Chicago!! "
"Marketplace","077722686714828","2023-05-31","03:38:46 PM","Wednesday","3 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","25.44","0.00","25.44","0.00","0.00","2.54","0.00","27.98","-3.18","-2.54","0.00","-1.15","-2.54","0.00","18.57","15",,"10","16","25","0","On-time",,
